Name	TLA	MLB_NUM	Address
D-backs	ARI	109	2025 E Polk St, Phoenix, AZ 85006, USA
Braves	ATL	144	137-139 Memorial Dr SW, Atlanta, GA 30303, USA
Orioles	BAL	110	312-398 W Camden St, Baltimore, MD 21201, USA
Red Sox	BOS	111	1 Yawkey Way, Boston, MA 02215, USA
Cubs	CHC	112	1035-1053 W Addison St, Chicago, IL 60613, USA
Reds	CIN	113	1002 Broadway St, Cincinnati, OH 45202, USA
Indians	CLE	114	2312-2422 Ontario St, Cleveland, OH 44113, USA
Rockies	COL	115	1851 28th Ave, Denver, CO 80205, USA
White Sox	CWS	145	301-329 W 35th St, Chicago, IL 60616, USA
Tigers	DET	116	2-276 Martin Luther King Jr Blvd, Detroit, MI 48201, USA
Astros	HOU	117	900 Bagby St, Houston, TX 77002, USA
Royals	KC	118	49 W 10 St, Kansas City, MO 64105, USA
Dodgers	LA	119	Sunset Gate, Los Angeles, CA 90012, USA
Angels	LAA	108	1919 S State College Blvd, Anaheim, CA 92805, USA
Marlins	MIA	146	2269 NW 199th St, Miami Gardens, FL 33056, USA
Brewers	MIL	158	860 N Jefferson St, Milwaukee, WI 53202, USA
Twins	MIN	142	34 Kirby Puckett Pl, Minneapolis, MN 55415, USA
Mets	NYM	121	40 126th St, Corona, NY 11368, USA
Yankees	NYY	147	556 River Ave, Bronx, NY 10451, USA
Athletics	OAK	133	675-685 Hegenberger Rd, Oakland, CA 94621, USA
Phillies	PHI	143	1325 Market St, Philadelphia, PA 19107, USA
Pirates	PIT	134	1807-1813 Federal St, Pittsburgh, PA 15212, USA
Padres	SD	135	2011 Polk Ave, San Diego, CA 92104, USA
Mariners	SEA	136	258-298 Yesler Way, Metro Transit, Seattle, WA 98104, USA
Giants	SF	137	102 King St, San Francisco, CA 94107, USA
Cardinals	STL	138	500 N Broadway, St Louis, MO 63102, USA
Rays	TB	139	St Petersburg, FL 33705, USA
Rangers	TEX	140	1000 Ballpark Way, Arlington, TX 76011, USA
Blue Jays	TOR	141	1 Blue Jays Way, Toronto, ON M5V 3S2, Canada
Nationals	WAS	120	11-49 Potomac Ave SW, Washington, DC 20003, USA
