TEAM1	TEAM2	DistanceInMeters	TimeInSeconds
ARI	ATL	2967889	105545
ARI	BAL	3739713	135983
ARI	BOS	4304199	157032
ARI	CHC	2837646	102774
ARI	CIN	2923911	105611
ARI	CLE	3247185	118586
ARI	COL	1332103	51018
ARI	CWS	2824501	101945
ARI	DET	3232516	116993
ARI	HOU	1890704	63532
ARI	KC	1936454	74308
ARI	LA	604855	21961
ARI	LAA	577039	20932
ARI	MIA	3776221	131462
ARI	MIL	2950206	106919
ARI	MIN	2639651	99896
ARI	NYM	3895971	146043
ARI	NYY	3931754	145561
ARI	OAK	1186576	43136
ARI	PHI	3774875	140235
ARI	PIT	3318938	121907
ARI	SD	571117	21062
ARI	SEA	2283988	86426
ARI	SF	1209953	44080
ARI	STL	2344402	84455
ARI	TB	3501714	122009
ARI	TEX	1684267	58982
ARI	TOR	3614680	131481
ARI	WAS	3700376	133997
ATL	BAL	1123941	41667
ATL	BOS	1760149	67496
ATL	CHC	1163504	44808
ATL	CIN	742590	27474
ATL	CLE	1141096	42720
ATL	COL	2256413	81432
ATL	CWS	1147540	43788
ATL	DET	1162871	43017
ATL	HOU	1275901	46229
ATL	KC	1292038	48879
ATL	LA	3501898	125244
ATL	LAA	3491125	124685
ATL	MIA	1043737	38823
ATL	MIL	1301684	50052
ATL	MIN	1793619	67789
ATL	NYM	1432587	54406
ATL	NYY	1434201	53946
ATL	OAK	3953042	142326
ATL	PHI	1284062	48534
ATL	PIT	1104140	41422
ATL	SD	3440867	123859
ATL	SEA	4293880	153782
ATL	SF	3976421	143270
ATL	STL	891303	34065
ATL	TB	769233	29369
ATL	TEX	1285007	48350
ATL	TOR	1529539	58313
ATL	WAS	1029582	39115
BAL	BOS	648398	27151
BAL	CHC	1137938	43969
BAL	CIN	815657	31147
BAL	CLE	599098	23881
BAL	COL	2671631	96991
BAL	CWS	1121974	42949
BAL	DET	845981	32884
BAL	HOU	2329237	85129
BAL	KC	1707254	64438
BAL	LA	4260730	153592
BAL	LAA	4249958	153034
BAL	MIA	1738452	63676
BAL	MIL	1276118	49213
BAL	MIN	1782258	68954
BAL	NYM	326349	14047
BAL	NYY	322449	13601
BAL	OAK	4533937	162457
BAL	PHI	164397	7189
BAL	PIT	401617	16293
BAL	SD	4294243	155712
BAL	SEA	4447198	162058
BAL	SF	4530627	162361
BAL	STL	1317815	50450
BAL	TB	1555934	58133
BAL	TEX	2224891	81402
BAL	TOR	745485	31205
BAL	WAS	61388	3245
BOS	CHC	1602019	61411
BOS	CIN	1394448	53019
BOS	CLE	1027248	41150
BOS	COL	3176472	116778
BOS	CWS	1586056	60391
BOS	DET	1151905	44632
BOS	HOU	2980491	109355
BOS	KC	2280071	85981
BOS	LA	4814164	174218
BOS	LAA	4803391	173659
BOS	MIA	2397693	89361
BOS	MIL	1740199	66656
BOS	MIN	2246341	86397
BOS	NYM	346036	13608
BOS	NYY	344751	13417
BOS	OAK	4998020	179899
BOS	PHI	507414	20432
BOS	PIT	920952	37319
BOS	SD	4867068	177255
BOS	SEA	4911287	179501
BOS	SF	4994710	179804
BOS	STL	1890633	71993
BOS	TB	2215175	83818
BOS	TEX	2876144	105628
BOS	TOR	878765	34449
BOS	WAS	720631	28930
CHC	CIN	486034	19330
CHC	CLE	563612	21806
CHC	COL	1617491	57629
CHC	CWS	16968	1056
CHC	DET	463095	17860
CHC	HOU	1753402	66679
CHC	KC	832336	31182
CHC	LA	3255186	115069
CHC	LAA	3244413	114510
CHC	MIA	2205369	82899
CHC	MIL	143483	6276
CHC	MIN	649624	26017
CHC	NYM	1303273	50760
CHC	NYY	1289634	50120
CHC	OAK	3439032	120751
CHC	PHI	1231944	48530
CHC	PIT	750734	29066
CHC	SD	3348094	118381
CHC	SEA	3314555	119121
CHC	SF	3435724	120655
CHC	STL	486341	18904
CHC	TB	1930866	73445
CHC	TEX	1558984	58543
CHC	TOR	845259	32348
CHC	WAS	1142032	45360
CIN	CLE	398801	15647
CIN	COL	1915600	68540
CIN	CWS	468768	18434
CIN	DET	426565	16288
CIN	HOU	1692782	63718
